age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,manager_comments
67,,159542,5th-6th,3,Widowed,,Unmarried,Black,Female,0,0,40,United-States,<=50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
48,Private,101684,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-24680.
49,Self-emp-not-inc,99335,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
58,Self-emp-not-inc,143731,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,>50K,Plan d'accompagnement ouvert pour [PERSON]. Coaching confié à [PERSON] ([REDACTED_EMAIL]).
39,Private,245053,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
38,State-gov,31352,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
75,Self-emp-inc,125197,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,26,United-States,<=50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-65938.
26,Private,324854,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-20125.
37,Private,259785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Alerte [PERSON] par [PERSON] [PERSON]. Suivi RH : [REDACTED_EMAIL].
48,Self-emp-inc,481987,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,Prime [PERSON] à [PERSON] sur le compte [REDACTED_IBAN]. Contrôle : [PERSON].
23,Private,149224,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Performance below target for [PERSON]. Action plan owned by [PERSON]. Ticket HR-34302.
23,Private,65481,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K,Alerte [PERSON] par [PERSON]. Suivi RH : [REDACTED_EMAIL].
34,Private,261799,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,>50K,RAS pour [PERSON] cette année. Manager : Philippine de la Duval.
55,Self-emp-not-inc,95149,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,<=50K,Onboarding complete for [PERSON]. Buddy assigned: [PERSON] ([REDACTED_EMAIL]). No issues.
39,Private,225330,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,50,Poland,>50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
55,Private,160662,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,>50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
65,,106910,11th,7,Divorced,,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K,"[PERSON] on extended leave since [DATE]. [PERSON] discussed with [PERSON], [REDACTED_PHONE]."
26,Private,167761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-39822.
32,Private,45796,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
50,Private,183638,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,RAS pour [PERSON] cette année. Manager : [PERSON].
44,Private,193755,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Performance below target for [PERSON]. Action plan owned by [PERSON]. Ticket HR-54099.
66,Self-emp-not-inc,28061,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K,Alerte [PERSON] par [PERSON] [PERSON]. Suivi RH : [REDACTED_EMAIL].
50,State-gov,288353,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,RAS pour [PERSON] cette année. Manager : [PERSON].
36,Private,28996,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-20314.
25,Private,250038,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,,<=50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
35,Private,119992,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
47,Self-emp-not-inc,258498,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,52,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
27,Self-emp-not-inc,151402,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1573,70,United-States,<=50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
46,State-gov,27802,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,>50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
31,Private,263561,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
34,Private,224358,10th,6,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
33,Local-gov,292217,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [PERSON]. Coaching confié à [PERSON] ([REDACTED_EMAIL]).
35,Private,148903,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [PERSON]. Coaching confié à [PERSON] ([REDACTED_EMAIL]).
38,Federal-gov,48123,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Strong year for April [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
44,Private,165492,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
36,Local-gov,196529,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-86732.
47,Private,102308,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
32,Private,26803,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,>50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
52,Self-emp-inc,287927,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,>50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
61,State-gov,162678,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,RAS pour Marine Masson cette année. Manager : [PERSON].
24,Self-emp-not-inc,277700,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,<=50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
50,Private,107665,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
19,Private,405526,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,"[PERSON] on extended leave since [DATE]. [PERSON] discussed with [PERSON], [REDACTED_PHONE]."
39,Federal-gov,206190,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: Crystal Davis, contact [REDACTED_EMAIL]."
39,Private,110713,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,Onboarding complete for Meagan Lloyd. Buddy assigned: [PERSON] ([REDACTED_EMAIL]). No issues.
28,Private,34335,HS-grad,9,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,14084,0,40,United-States,>50K,PIP opened [DATE]. Coaching assigned to [PERSON] ([REDACTED_EMAIL]). Review in 90 days. Confidential — HR contact: [PERSON].
52,Self-emp-not-inc,194791,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-31430.
18,Private,436163,11th,7,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
32,Private,226696,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
57,Private,250201,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,52,United-States,<=50K,PIP opened [DATE]. Coaching assigned to [PERSON] ([REDACTED_EMAIL]). Review in 90 days. Confidential — HR contact: [PERSON].
58,Private,289364,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
42,Private,219591,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,>50K,Prime versée à [PERSON] le compte [REDACTED_IBAN]. Contrôle : [PERSON].
22,,120572,Some-college,10,Never-married,,Own-child,White,Female,0,0,40,United-States,<=50K,Performance below target for [PERSON]. Action plan owned by [PERSON]. Ticket HR-30120.
42,Private,266084,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,45,United-States,>50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
43,Private,209894,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,Performance below target for [PERSON]. Action plan owned by [PERSON]. Ticket HR-76523.
17,Private,329783,10th,6,Never-married,Sales,Other-relative,White,Female,0,0,10,United-States,<=50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
52,Private,210736,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,55,United-States,>50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
58,Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,"[PERSON] on extended leave since [DATE]. [PERSON] discussed with [PERSON], [REDACTED_PHONE]."
39,Local-gov,180686,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,>50K,PIP opened [DATE]. Coaching assigned to [PERSON] ([REDACTED_EMAIL]). Review in 90 days. Confidential — HR contact: [PERSON].
22,Private,356567,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,60,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
34,Self-emp-not-inc,29254,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,Performance below target for Austin Foster. Action plan owned by [PERSON]. Ticket HR-35058.
26,Self-emp-not-inc,93806,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,"[PERSON] DDS on extended leave since [DATE]. [PERSON] discussed with [PERSON], [REDACTED_PHONE]."
35,,273558,Some-college,10,Never-married,,Not-in-family,Black,Male,0,0,30,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
45,Private,178416,Assoc-voc,11,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
26,Private,41521,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K,Onboarding complete for [PERSON]. Buddy assigned: [PERSON] ([REDACTED_EMAIL]). No issues.
58,Local-gov,368797,Masters,14,Widowed,Prof-specialty,Unmarried,White,Male,0,0,35,United-States,>50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
30,Local-gov,131776,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,PIP opened [DATE]. Coaching assigned to [PERSON] ([REDACTED_EMAIL]). Review in 90 days. Confidential — HR contact: [PERSON].
49,State-gov,391585,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
51,Private,103824,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,Haiti,<=50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
48,Private,131826,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
20,Private,190772,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,Performance below target for [PERSON]. Action plan owned by [PERSON]. Ticket [PERSON].
32,Private,208180,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,>50K,Alerte [PERSON] par [PERSON]. Suivi RH : [REDACTED_EMAIL].
55,Self-emp-not-inc,477867,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,"[PERSON] on extended leave since [DATE]. Backfill discussed with [PERSON], [REDACTED_PHONE]."
35,Private,187693,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-83885.
49,Self-emp-inc,44671,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
27,Private,215504,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1848,55,United-States,>50K,Performance below target for [PERSON]. Action plan owned by Dr. [PERSON]. Ticket HR-34877.
24,,33339,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
41,Private,287306,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,>50K,PIP opened [DATE]. Coaching assigned to [PERSON] ([REDACTED_EMAIL]). Review in 90 days. Confidential — HR contact: [PERSON].
45,Private,187370,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,7430,0,70,United-States,>50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
36,Private,230329,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Mobilité demandée par [PERSON]. [PERSON] [PERSON] le [DATE]. Ticket HR-57785.
51,Private,332243,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
17,Private,365613,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,10,Canada,<=50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-52574.
44,Local-gov,196456,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-58374.
33,Private,129707,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,>50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
38,Self-emp-not-inc,77820,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,RAS pour [PERSON] cette année. Manager : [PERSON].
30,Local-gov,44566,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
33,Private,112941,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,[PERSON] flagged a conflict with [PERSON]. Mediation scheduled. HR follow-up: [REDACTED_EMAIL].
18,Private,302859,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
61,Self-emp-not-inc,392694,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Onboarding complete for Jonathon Hall. Buddy assigned: [PERSON] ([REDACTED_EMAIL]). No issues.
22,Private,309178,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,Strong year for [PERSON]. Bonus wired to account [REDACTED_IBAN]. Validated by [PERSON] on [DATE].
23,Federal-gov,350680,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,Poland,<=50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-72181.
50,Federal-gov,20179,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,"[PERSON] is a strong promotion candidate this year. Discussed with HR ([PERSON], [REDACTED_PHONE]). Budget pre-approved on account [REDACTED_IBAN]."
32,Private,331539,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,>50K,Onboarding complete for [PERSON]. Buddy assigned: Mrs. [PERSON] ([REDACTED_EMAIL]). No issues.
20,Private,183594,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
65,Private,469602,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K,"Annual review for [PERSON]: solid contributor, no concern. Manager: [PERSON], contact [REDACTED_EMAIL]."
38,Federal-gov,172571,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K,"Entretien annuel de [PERSON] : bon élément. Référent : [PERSON], joignable au [REDACTED_PHONE]."
44,Private,198282,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,[PERSON] requested a transfer. Approved by [PERSON]. Reach them at [REDACTED_PHONE] for handover. Ticket HR-59606.
53,Private,152657,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,"[PERSON] on extended leave since [DATE]. [PERSON] discussed with [PERSON], [REDACTED_PHONE]."
27,Private,189462,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,46,United-States,<=50K,Behavioral concern raised by colleague [PERSON]. Manager [PERSON] ([REDACTED_EMAIL]) to follow up by [DATE]. Reference ticket HR-74954.
51,Self-emp-not-inc,276456,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,3103,0,30,United-States,>50K,Plan d'accompagnement ouvert pour [PERSON]. Coaching confié à [PERSON] ([REDACTED_EMAIL]).
